State.Name,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races,Total.Poverty,Year
United States,19282800,9047000,11795000,2092900,556500,1418400,44192500,2016
Alabama,376200,349400,62000,6900,2700,20400,817600,2016
Alaska,30000,N/A,8500,N/A,29400,5100,75500,2016
Arizona,411400,56900,496100,30700,96000,24200,1115400,2016
Arkansas,291200,127100,53600,6100,4500,16400,498800,2016
California,1387700,461000,2857400,631000,27500,164700,5529200,2016
Colorado,300500,39400,197500,20300,5500,20000,583200,2016
Connecticut,135100,61800,105700,14800,N/A,10500,328200,2016
Delaware,46300,28900,24400,3200,N/A,4400,1.08E+05,2016
District of Columbia,17600,84700,15500,3300,N/A,N/A,122700,2016
Florida,1164200,693800,959900,67800,8200,85800,2979700,2016
Georgia,571800,687000,225500,47700,4300,45000,1581400,2016
Hawaii,23600,N/A,15300,64100,N/A,17700,122600,2016
Idaho,172900,N/A,49100,N/A,4600,6500,237000,2016
Illinois,687100,460400,357500,73300,1700,44500,1624500,2016
Indiana,568600,162700,105200,30800,2700,30300,900400,2016
Iowa,251600,28700,41600,11100,N/A,9900,346000,2016
Kansas,214300,43300,60000,8900,2600,11800,340800,2016
Kentucky,613400,107100,47100,9700,N/A,19700,799200,2016
Louisiana,337700,489200,53400,12900,7300,19000,919500,2016
Maine,145000,9800,2600,N/A,N/A,5800,168000,2016
Maryland,206200,219200,72900,28300,N/A,21200,548600,2016
Massachusetts,320100,83200,198000,59300,1800,27300,689700,2016
Michigan,834200,379400,107800,57000,7800,57300,1443600,2016
Minnesota,310900,87400,53200,37100,15400,26500,530400,2016
Mississippi,213000,346000,21200,2700,5400,10600,599000,2016
Missouri,554500,153200,56100,18300,5300,34100,821600,2016
Montana,104800,N/A,5100,N/A,14900,5800,132600,2016
Nebraska,128000,22900,48200,8500,3900,N/A,216400,2016
Nevada,136500,51500,155900,27700,7800,12900,392300,2016
New Hampshire,74300,N/A,6700,N/A,N/A,4700,89600,2016
New Jersey,314400,187000,322100,53600,2200,22600,902000,2016
New Mexico,95200,7100,238100,N/A,56700,7100,407000,2016
New York,1023000,559700,891700,275100,9100,86600,2845300,2016
North Carolina,685900,504500,251600,30900,24500,47100,1544500,2016
North Dakota,52400,N/A,6100,N/A,15900,N/A,84300,2016
Ohio,988800,418000,104400,35100,4000,76600,1626800,2016
Oklahoma,306900,75100,101500,12400,62800,54300,612900,2016
Oregon,339800,18000,117900,27200,9200,26400,538500,2016
Pennsylvania,891900,335400,245200,54300,5700,51000,1583500,2016
Rhode Island,70300,11600,35500,3700,N/A,7600,129200,2016
South Carolina,310100,312400,69000,8100,N/A,28800,730000,2016
South Dakota,56300,N/A,9400,N/A,40400,5600,115000,2016
Tennessee,602000,276500,96900,12300,N/A,25500,1015200,2016
Texas,1028200,636100,2374200,137800,8300,71600,4256100,2016
Utah,194000,11500,74300,14300,8300,9100,311400,2016
Vermont,61900,N/A,N/A,N/A,N/A,N/A,67000,2016
Virginia,432300,272000,112200,37600,1700,40000,895900,2016
Washington,454600,53600,172900,59800,18700,51200,810800,2016
West Virginia,290600,14900,6500,N/A,N/A,10400,325700,2016
Wisconsin,405000,104700,90800,28900,12400,21200,663000,2016
Wyoming,50400,N/A,9800,N/A,2800,N/A,66900,2016
Puerto Rico,13300,N/A,1473700,N/A,N/A,1700,1489800,2016